Channel,Longitude,Latitude,Depth (m)
510,-0.32314,39.493,0.22098
511,-0.32294,39.493,0.22098
512,-0.32275,39.493,0.22098
513,-0.32255,39.493,0.44955
514,-0.32235,39.493,0.85588
515,-0.32216,39.493,1.313
516,-0.32196,39.493,1.7447
517,-0.32177,39.493,2.2019
518,-0.32157,39.493,2.6336
519,-0.32138,39.493,3.0653
520,-0.32118,39.493,3.2685
521,-0.32099,39.493,3.3701
522,-0.32079,39.493,3.5479
523,-0.32059,39.493,3.5733
524,-0.3204,39.493,3.8018
525,-0.3202,39.493,4.005
526,-0.32001,39.493,4.259
527,-0.31981,39.493,4.4621
528,-0.31962,39.493,4.5637
529,-0.31942,39.493,4.7415
530,-0.31922,39.493,4.9193
531,-0.31903,39.493,5.097
532,-0.31883,39.493,5.1986
533,-0.31864,39.493,5.351
534,-0.31844,39.493,5.478
535,-0.31825,39.493,5.6303
536,-0.31805,39.493,5.8081
537,-0.31785,39.493,5.9097
538,-0.31766,39.493,6.0875
539,-0.31746,39.493,6.1891
540,-0.31727,39.493,6.316
541,-0.31707,39.493,6.4176
542,-0.31688,39.493,6.5954
543,-0.31668,39.493,6.7986
544,-0.31649,39.493,6.9255
545,-0.31629,39.493,7.0525
546,-0.31609,39.493,7.0779
547,-0.3159,39.493,7.2049
548,-0.3157,39.493,7.3573
549,-0.31551,39.493,7.6366
550,-0.31531,39.493,7.789
551,-0.31512,39.493,7.916
552,-0.31492,39.493,8.1192
553,-0.31472,39.493,8.2969
554,-0.31453,39.493,8.4747
555,-0.31433,39.493,8.6017
556,-0.31414,39.493,8.7541
557,-0.31394,39.493,8.9064
558,-0.31375,39.493,9.0334
559,-0.31355,39.493,9.2112
560,-0.31336,39.493,9.4144
561,-0.31316,39.493,9.5159
562,-0.31296,39.493,9.7953
563,-0.31277,39.493,9.8715
564,-0.31257,39.493,10.075
565,-0.31238,39.493,10.202
566,-0.31218,39.493,10.278
567,-0.31199,39.493,10.354
568,-0.31179,39.493,10.583
569,-0.3116,39.493,10.583
570,-0.3114,39.493,10.583
571,-0.3112,39.493,10.71
572,-0.31101,39.493,10.887
573,-0.31081,39.493,10.887
574,-0.31062,39.493,10.913
575,-0.31042,39.493,11.141
576,-0.31023,39.493,11.192
577,-0.31003,39.493,11.243
578,-0.30983,39.493,11.395
579,-0.30964,39.493,11.497
580,-0.30944,39.493,11.522
581,-0.30925,39.493,11.675
582,-0.30905,39.493,11.37
583,-0.30886,39.493,11.471
584,-0.30866,39.493,11.802
585,-0.30847,39.493,11.903
586,-0.30827,39.493,11.954
587,-0.30807,39.493,11.954
588,-0.30788,39.493,11.954
589,-0.30768,39.493,12.03
590,-0.30749,39.493,12.259
591,-0.30729,39.493,12.259
592,-0.3071,39.493,12.259
593,-0.3069,39.493,12.259
594,-0.30671,39.493,12.411
595,-0.30651,39.493,12.462
596,-0.30631,39.493,12.563
597,-0.30612,39.493,12.665
598,-0.30592,39.493,12.716
599,-0.30573,39.493,12.716
600,-0.30553,39.493,12.716
601,-0.30534,39.493,12.716
602,-0.30514,39.493,12.868
603,-0.30494,39.493,12.868
604,-0.30475,39.493,12.868
605,-0.30455,39.493,12.944
606,-0.30436,39.493,13.021
607,-0.30416,39.493,13.148
608,-0.30397,39.493,13.173
609,-0.30377,39.493,13.173
610,-0.30358,39.493,13.173
611,-0.30338,39.493,13.249
612,-0.30319,39.493,13.452
613,-0.30299,39.493,13.529
614,-0.30279,39.493,13.63
615,-0.3026,39.493,13.63
616,-0.3024,39.493,13.63
617,-0.30221,39.493,13.63
618,-0.30201,39.493,13.973
619,-0.30182,39.493,13.935
620,-0.30162,39.493,13.935
621,-0.30143,39.493,13.935
622,-0.30123,39.493,13.935
623,-0.30103,39.493,13.986
624,-0.30084,39.493,13.909
625,-0.30064,39.493,13.782
626,-0.30045,39.493,13.691
627,-0.30025,39.493,12.868
